,vmid,vmcreated,vmdeleted,maxcpu,avgcpu,p95maxcpu,vmcorecount,vmmemory
1567771,LUP7ghRl+kpxLXIBR4Xs68CIpRgdCcl6Ldq9DgW0QWXonWo0hAwKkPyw98EAqzb1,0,2082900,100.0,52.24111781031265,98.724051,1,1.75
1567776,kGcKBzWp59Sl7ENEciVfnzTc+xcBVXMfbMhN1mkVpSpXO3sWM4MsXVnmegdH/M5j,0,2082900,100.0,52.84562311176725,98.542211,1,1.75
1567786,rkGG7+jCmzOybwjDBuu2ybDKudsRBNFUvJp+CIbTcZx00E9Jzr0xo3CSevDqH48T,0,2082900,100.0,51.54297244894144,98.854538,1,1.75
1567791,O8aQvKSwCfM9JoqWMY+0vAWkcoUWiTSsc3Lvm3IA3oXSPk09OH6Rpxp4lcgarDdH,0,2082900,100.0,52.1066432564805,98.59474499999999,1,1.75
1567810,vFNPNDBTFl6GzE5Eiag8g9ipydZQmn/lX6S+YTexGmzq0jlBNREURz5jnmTb0A/N,0,2082900,99.892377,54.731443890057534,97.698524,1,1.75
1567811,F38JdDCUOYs/y9UlhsAjj6xqqZABVc6l+pFbUsWzlUjZTsEH2A1YQR2t9iegJWmO,0,2082900,100.0,52.16690698602695,98.089672,1,1.75
1567819,p3xed5kTCdwrD6z4ByXtw9XYn4SkvKMIWwmnoeFsLiReDvTwfkUBPvgQ8zEZplPM,0,2094300,100.0,50.746942889573155,98.910901,1,1.75
1567839,VutGWq5sWlSPwQ4OpNXnVcSdDLdyqiBrgLzoaYdjqLSNLE2aCwjfF9G+JZpjljn4,0,2082900,100.0,52.08167487527009,98.91202,1,1.75
1575378,PMRZZv2f5AZNJI1mkoFBONTByHvcbOECMubHFwWB59/pP0x0ZqEPgnHigHdVCHKF,0,93600,99.711729,50.506948128205146,85.046235,1,1.75
1577477,JUoak+T+RjjG63QAExtlyTxOfkDNfjX4JeMO8Z1X5Rhia97WXd6tlDsAoLJO88uH,0,6600,95.726414,50.08572108695651,95.437106,1,1.75
1578950,7Usy/VKJz9myVugC6HUew4mDBmYMMJIkNJJfShSTUf2eEb5BDYmMasdQTJwQRU7v,0,9600,87.339558,51.55775865625,84.085785,1,1.75
1579016,BAijRDf/tIg1huoyiDncfgJ8x+I0ADBCqUKQyUiLobRXR652BgazRY56QK2VnrQz,0,78900,99.313583,50.631745518939425,84.274551,1,1.75
1579692,WTY0KHxKYj2Cm4bO9VVI15xJzq6csUd9p9a22lBqH0ZX7hvUYhurh+inBcMpUxgJ,0,2591700,100.0,99.2227176819442,99.856127,1,1.75
1583917,FacPZV/sE1P4U2xZkSR6k0shGCIYKFL5tGcN258zmtbfuP2N+oeglEMCKCGZKoJI,0,1952100,100.0,64.1237815965884,86.427879,1,1.75
1583918,ohbUltrzgBQ+iisJga5eJknY2l32hOLDSsLw+dHwEakIJEBsZBK8QLIEE2Z+NBoh,0,1952100,99.672614,50.56460896189312,62.759184999999995,1,1.75
1583920,x7+60+61fpPVPRO47FLKT0vCgqEFgnmXhqJuXovmpgcjHPQuPgr8BLPIn/4Pip6w,0,1952100,100.0,65.25518804980021,88.517516,1,1.75
1584534,oLyC5Ga8EJ2ubsLLrMQkpVZOjgyG92x2MR4cOiDiVMnwaxvlwwhqSGuYHsTVkdLI,0,2591700,100.0,97.98334359965298,99.711104,1,1.75
1584728,CNTidEkuIxGzo5cU1QtqNjpEPA1LY3LGYgUdcfpVuur9AQX6wD7CGDMjzzpsbuoA,0,2591700,100.0,61.966772200254326,98.517361,1,1.75
1586776,8TE50mRu9nhWGyp6lNLd6ZiVHO5I9t8Ubcuij+i4qMW4viPw80FrqdlVCw2tw09e,0,2591700,100.0,70.28051380379664,99.43220500000001,1,1.75
1591469,OrMXcB2pQIUMNnnp9QAKt3Fx+utHXbEL1hqodvPytP3QEalrQw5MzpFDwKSqN0Jo,0,1800,98.977376,89.41661714285715,98.977376,1,1.75
1592337,83I2YI/E3A50WDJ7TqPWKqkruNryH9CPVo5+CfoDjfrFo+xX0MFBYMEGN4Vzg2/y,0,2591700,99.262852,87.57957324733742,98.459131,1,1.75
1592436,Iq/50uQuKLfZgIJZYkv6UH/Qklu1SVompzjZUe2Aq62X5lHGGB0E3aP4AcGxfywk,0,2100,98.505483,52.204294875,98.505483,1,1.75
1592437,hqBzc7Sizyf51YfjLPyfD5UPeS1O1wumkguZvhuIDzH6EjTAhmhk/mzwSoHOLgpu,0,2100,98.697474,72.48855350000002,98.697474,1,1.75
1594594,3C78RnFD+cMKrd2mmaJqj9qGh8yDKWcMPckYhPhnz/x48qsVSnSypzz4y9sPWJd+,0,2591700,100.0,61.900434341088,99.854509,1,1.75
1614242,8YMVm0UTYewB6nu9s7AUHDR/Cgyl2A8WdwrGXm8FRBhyoeRPuGjNMyh6JNSsg0bl,0,2591700,100.0,98.70131345879616,99.574118,1,1.75
1614246,WIQp8VrScUJDmWqvvCpjCb6b0jD1yMuyulXexxYMfOyInK5W5fjCkRmHQF0i2D0Y,0,2591700,100.0,98.82464040940673,99.636965,1,1.75
1614247,ySumf73Ip3jrY38nITZElRbhXm/AzKwFfJRhQ6dJO13X3GB8BO1XrPY1/yPEz5qc,0,2591700,100.0,99.31594430489635,99.742071,1,1.75
1614250,5qPEs5HZiboC8hSgWoKWIjvfycxGiTql3D//vpySa/ft3rtLBSclKjn3uEg63NlY,0,2591700,100.0,67.37959877708326,99.15521700000001,1,1.75
1614253,RP3cLw8qEiHIqfzAsXnnyfR5JxTvencVrmbKXkaM1GDHujySs8J+3pecrLb+KA6t,0,2591700,100.0,69.83031645931226,99.269713,1,1.75
1614254,JO8r2es60SAP5Zz9sXiB60ZU0AOtn2MgO1dP7MLQ63BcOxdeHlYk+31Ie24rSC7n,0,2591700,100.0,98.89376704745912,99.614056,1,1.75
1614256,TCglIlkJSuWkpEHyNpgFm78OTvq7ZvfcuPgNIVTotinDdnRE5g0L1apLAN1nHtKZ,0,2591700,100.0,98.57923164462693,99.55311400000001,1,1.75
1627453,hZ03ZfWwmVyrYISqmRH+s/DFwyze0BtQBYj4rpxXVfIHYTYJ2SWo3p9N7xL8xai+,0,2591700,100.0,98.71726755000013,99.552876,1,1.75
1627521,R/T0oAdKNr5/XOiq4JUvHOUO+/cubgsOG54wJX6cfjci1jnLg7cjult7kKP/jcTk,0,2591700,100.0,62.28290572864053,99.105597,1,1.75
1633956,BQAMWCpzBIYuz4k5MHu8xqBw5xBxKvm2ik7W2ch5Smx5cdF4sZDV+/bWkwPC/uPO,0,3000,98.30001899999999,65.64104963636363,98.30001899999999,1,1.75
1634043,KufcrJ730SR+GaYCDLHrZZppWbJpXQcA4i0oMg0kxNCybu6vqmgIjFuHAx1WD3D4,0,3000,98.26499100000001,76.38027500000003,98.26499100000001,1,1.75
1634044,etboZ87FOIM13dIyoqTOSyCPzbi5ANNJUdYStPTrkG0jjLE4rxUPpKFUdtOAJ30B,0,3000,98.048771,71.33148336363638,98.048771,1,1.75
1634211,7zR7GSu/8tFQfZBVzYboS60/lMOicA6+RqSdEUhMRrK1yjb7jCetyExtdG969mAH,0,2591700,99.978021,52.71547690241914,98.542591,1,1.75
1638991,H/UVYh7BSqb3RHdkNgtwt1JbAHSNL9CjocPthQ5O2cEiujTsBejc/Cnh7/zR74yp,0,2591700,99.64915699999999,75.48950066450409,98.890761,1,1.75
1641370,ngU1hvIKkNHCgU0Wz/kmlXFkt+gnFBJscDtKZjmxF8QRzwVzNfNwtkSoJrDcNO//,0,511500,99.853383,57.81827015181715,98.49065,1,1.75
1646804,3YM+wHYLxk3CvmP3HlpjlfBPmxmQvHQWAVidMoo8xQGKWzcnXO8277OfOx9S3uC5,0,2591700,99.744013,66.03660460990834,81.49996,1,1.75
1653421,MbsLIifHjLJoLXbcCPZQ+v7wYXKGp1ME65Qla8/nomT+59hi/m6216ZNub0qc6xG,0,2591700,100.0,91.86558557027055,99.461878,1,1.75
1658873,zgkQouEFCjsmWkdJl8hMFptV0Yp2nWZ7rDI9Vw3reWV7+M77+uIzSojJCbc9ETEE,0,2045700,100.0,64.51591299794734,99.043482,1,1.75
1658878,8NZb06vaSGx/USmQi/7gdJJ3RM5gjG61xJwCddjGnxDBmBAWqdFczdd3D7cJoyEX,0,2591700,100.0,68.19477002581037,99.49124,1,1.75
1658879,7zK+lHbaKnVNfh/hNQ3orQo2EPOpx3xjWMp5hIkQZBHVxPm9VU8NT0MG4y6xUtDz,0,2591700,100.0,52.73665209156146,99.16873100000001,1,1.75
1658883,gkkJbgrMVfiWae5XaNe1Q4cj27HbvsCysY7fpx9EEOnpOFTIlNosP67iI8NHiLr6,0,2591700,100.0,53.96650232199046,98.69341899999999,1,1.75
1658894,SoPFAj+oW+FzP5psvt+1s3t6m1pVaAOYU/p/DA5Ow2Wu5MUrrx5FLrtAL11y7wt/,0,2127600,100.0,60.79799631199772,98.94467,1,1.75
1658897,mz0p1I5D+1tc9txZgVCppe7vEpUyRZHqNxnJRJUVgPpj7ab9BJU2oV28qoyYMkHf,0,2591700,100.0,53.73343439482833,99.256878,1,1.75
1658914,J45S7XHMePUS/JLQwS3QdIfhEuzAdIp2DY5ij25Ru7ZQf4mm5g32r2MaLi5Q3VOO,0,2591700,100.0,53.56844407222209,99.23859,1,1.75
1658915,hk/PttdfNG1sCvMvw1sJ3tYmImGrGUERM/R0najczzMjeTatGxX/Uti2m68M92GW,0,2591700,100.0,50.48190481328832,98.51311199999999,1,1.75
1658916,IgHcIcGjhLppPy0n35KckvQjFJJGw4RkdsUrXpeuF/gx61nu0xn71Y8+QVaHc2t3,0,2591700,100.0,55.30954526568655,98.819299,1,1.75
1658920,6XEfvvASEY4CiPYHLqp6C1P0l68QpK8wxS+N9HNJRRvKTriDTjbb4Tc1IjxonnGV,0,1602900,98.68983,56.84449041041004,95.69891700000001,1,1.75
1658922,IPnGf8h9/EBBDLsl04069YE8SXiCHE2R1CHpryO5G2CH/RgRnLf1jOJdSOfoZF0c,0,2591700,100.0,51.671239479050776,99.022145,1,1.75
1658925,iJ7N2zWITn8yIHYzvKMdviKboLE3kKF1/06BvDlOjGrV/ud0J9hMKzsGmYXqK2yr,0,2591700,100.0,52.832444409953645,99.01666800000001,1,1.75
1658932,vjSPKzPvatUE7cA4E93Z+v9yJ92OTJfPHg3h2hnu0acm63M+2DgdqJ6ptGOL52HV,0,2591700,100.0,50.87141548605143,99.047673,1,1.75
